 1000    9000
  956     304     281
  873     989     272
  522     737     284
  817     754      62
  506     980      36
  487     125     313
  318     421     418
  876     887     448
  492     949     399
  361     202     366
  533     106       9
  896     562     390
  853     939     198
  314     635     114
  962     237     345
  894     548     130
  827     156     138
  559      98     445
  725     918     253
  243     226     205
  861     880      92
  269      76     242
  799     202     211
  591     877     155
  488     447      64
  699     769     397
  773     593     480
   84      51     225
  586     846     266
  507     152     396
  746     277     456
  211     678     414
  236     559     153
  541     735     316
  346     428     222
  547     820     315
  450     536     369
  971     282     158
  893     366     454
  666     280     143
  236     943      36
  508     323     432
  953     938     218
  168     335     426
  466     275      47
  314     657     308
  771     669     346
  153      54     185
  500     213     291
  246     380     323
  640     203     370
  211     217     181
  184     936     109
   78     304     234
  959     891     238
  537     175     271
  864     150      80
  580     703     484
  793     334     371
  222     253     316
  643     877     382
  506     332     105
   76     319     151
  461     264     101
   75     801     404
  796     558     353
  340       1      92
  983     544      77
  200     355     416
  455     730     272
  348     300     109
   86     105     190
  355     905     193
   96     525     269
  900     169      94
  425      44     197
  213     119     117
  927     801     477
  491     360     116
  928      14     337
   64     886     182
  764     445     297
  407     215     439
  467     207     483
  526     715     476
  642     538     263
  771     485     135
   93     213     131
  682      74       2
  282     691     345
   65     151     274
  725     178     141
  581     340     170
  922     333     216
  544     665     492
  463     861     141
  746     822     243
  456     841     143
   87     864     218
  640     101     404
  156     571     145
   65     542     334
  275     528     344
  128     379     121
  790     381     436
  790      65      49
  310     681     381
  748     800     471
  603     111     242
  184     913     428
  201     911     173
  836     516     351
  552     813     113
  971     767     457
  892     649     201
  537     978     129
  551     239     401
  936     980     377
  611     384     321
  235     192     306
  958     459     404
  895     998      98
  419     292     195
  466     627      85
  559     682     215
  484     980      57
  701     323     102
  434     588     187
  433     270      96
  183     911     139
  963     930     490
  915     884     280
   15     401     432
  626      44     261
  674       9     226
  289     485     243
  472      73     156
  870     144      65
  911     321     386
  104     860     176
  983      42     327
   47     331     473
  693     736     211
  156     945      35
  372     259     175
  801     993     279
  981     865     191
  696     530     300
  290     845     160
   98      84     126
  335     573     122
  212     144     146
  763     472     191
  585     990     479
  177     741     242
  739     848     120
  106     433      43
  150     959     192
  973     115      18
  557     165     435
  839     328     452
  651     970     376
  832      78     357
  562     732      80
   73     837      26
  122     821     436
  953     287     380
   32     104     177
  310     382     465
   88     832     228
  919     210      18
   46     999     167
  759     945     221
  634     486     197
   94     374     374
  976     589     205
  682     720     484
  967     642     125
   52      31     314
  173     544     104
  840     717     241
  494     868     496
  903     154     118
  703     164     273
  313     515     256
   65     445     306
  753     754     124
  658     608     218
  277     431      55
  968     375     422
  495     827     295
  520     609     393
  349     269      56
  378     857     242
  118     461     142
  988     702     145
  761     183     117
  465     785      15
  392     794     341
   93     516     355
  363     635     303
  348     147     338
  110     434     248
  548     138     461
  171     396     410
  995     529     115
  710     782      95
  353     496      61
  861     316     448
  493     644     177
  271     747      38
  786     220     112
  129     815     272
  117     603      46
  451     889     339
  964     485     160
  810     842      13
  822     313      57
  749     788     112
  223     820     243
  265     525      60
  988     196     282
  507      58     134
  748      72     113
   26     829     442
  661     356     245
  269     430     495
  185     833      12
  503      55     270
  262     568     122
  447     547      94
  640     600     253
  973     322     330
  562     440     244
  516     356     417
