  100    7000
   25      65     164
   19      48     387
   54      57     402
   53       2      49
   95     100     449
   16      12     194
    7      12     404
   48      25     116
   32      66     418
   85      81     278
   48      68     494
   92      55      49
   93      90      28
   69      53     329
   86      42     284
   16      54     327
    1      48     118
  100      92     249
   61      73     461
   52      30     483
   43      26     488
    3      83     395
   24      87      92
   48      29     189
   59      85     126
   76      61     263
   19      18     303
   64      13     135
   90      83     397
   97      93     215
   97      13     153
   55      59      73
   73      24     244
   48      80     144
   52      53     374
   14      68     183
   23      63     398
    9      23     393
   22      72     440
   20      60     291
   86      43     311
   85      77     457
   45      99     189
   61      29     444
   95      18      88
   81      11     124
   74      94      79
   80      29     392
   76      69     407
   34      15     257
   41       8     163
   77      40     459
   21      44     306
   63      57     219
   52      68      17
   21       5     436
   47      35     415
   82      43     420
    9      96     214
   27       2     384
   62      45     240
   19      81     377
   17      60     384
   55      85     180
   12      21     488
   62      28      88
    8      17      55
   14      84      39
   10      79     410
   94      71     135
   13      19     228
    5      29     240
   77     100     389
   79      59      86
   42      60     483
   37      51     422
    2      40     356
   88      66     327
  100      87     264
   39      56      41
   82      75     331
   27      63     200
   27      16       9
   68      68     318
   91      79     422
   13      27     461
   57      64     262
   80      13     134
   12      13      97
   53      11     447
   59      59     433
   94      56     139
   22      26     332
   89      49     372
   56      41      65
   67      26     304
   60      39     143
   28      97     276
   77      15     461
   95      83     219
   60      14     433
    2      26      56
   49      58      25
   23      27     116
   63     100     449
  100      83     105
   62      61     280
   74      54     452
   93      25     161
   10      46     480
   65      94     350
   73      66     246
   93      47     167
   95      91     407
   82      89     493
   89      86     140
   16      97     317
    4      53     107
   86      20     207
   39      62     382
   16      93     308
   23      90     136
   16      94     186
   86      89     163
   59      45     112
   38      35     204
   45      48     144
   81      75     481
   76      18      14
   43      86     344
   36      33     132
   41      71      14
   97      75     442
   10       8     452
   58       1     261
   82      42       2
   74      55     430
   22      11     498
   46     100     436
   62      72      56
   70      72     359
   87      64     245
   36      58      27
   86      15     180
   52      48     407
   24      15     286
   54      46     165
   19       3     358
   52       9     267
   12      14      31
   88      24      68
   39      21      16
   25      97      98
   70      68     162
   13      84      31
    4      95     340
   57      86     157
