  100    1000
   28      64      60
   68      62     293
   39      94     107
   44      35     180
   42       6     401
   33       4     431
   59      87      89
   57      70     246
   19      33     375
   22      86     344
   39      52     268
    6      16     237
    5      75     280
   11      24     108
   90      58     394
   53      44     484
   41       3     166
   42      86     299
   27      20     121
   91      97     186
   21      18     142
   66       1     223
   59       8      68
   97      51     123
   26      83     450
   27      86     208
   30      88      22
    1      48     471
   28      19     198
   55      97      17
    4      93     445
   35      64     116
   24      32     214
   14      49     467
   21      44     429
   21      40     168
   65      89     420
   26       2     343
   69      44     214
    4      92     207
   19      66     140
   79      15     243
   47      47     362
   48      51     158
   92      37     351
    6      78     441
   75      57     235
    2      80     344
   32      57     181
   55      93     404
   12      49     488
   64      62      45
   55      61       1
   67      34     272
   50      74     402
   65      36      72
    4       8     323
   21      53     368
    3      98      73
   54      22     218
   65      35      76
   53       1     133
    1      72     147
   92      54      64
   25      82     440
   47       8     301
   93      67     228
   71      95     191
   28      32      33
    5      64      69
    8      29     423
   79      78     202
   29      57     390
   45      71     347
   66      73      16
   42      22     168
   13      78      75
   71      93     143
   47       5      11
   74      70     113
   68      84     296
   66      59     257
    1      56     424
   62      97     495
   64      15     251
   25       6     427
   78       8     388
   34       6     168
   17      36     489
   16      75     379
   31      74     163
   63      12     221
   39      57     287
   37      17     343
   93      52     155
   36       3     404
   41      21     294
    6      65      67
   83      59     332
   20      96     410
   78      48     309
   54      29      79
   59      29     436
   32      70     488
   70      60     123
   62       1     314
   88       2     141
   55      22     228
   90      68      95
   53      38     282
   29      92     429
   44      60     134
   43      89     254
   99      27     206
   65      27     466
    3      30     408
   93      58     259
   21      86     469
   78      97     298
   80      17     150
   15      96     321
   23      27     247
   66      69      65
   31      94     270
   54      42     159
   97      24     177
   67       7     416
   91      84     116
   26      45     279
  100      41     384
   30      40      93
   38      79     104
   83      12     379
   11      89     231
   39      42      77
    5      67      93
   64      79     316
   44      77     306
   59      34     209
   97      17     416
    5      85     156
   49      60     158
   42       8     336
   85      85     488
   99      27      52
   79      99     338
   18      52     244
    9      69     473
   73      38     153
   18      85     409
   15      83     312
   47      45     263
   28       3     139
   90      54      98
    9      32     377
   76      93       5
    2      17     119
   40       8     364
   44      87     448
   41      23     113
   70      39     347
   72      90     346
   63      25     351
   74      16     174
    8       9     440
    2      18      82
   63      42     382
   71      92     207
   13      72     132
    6      12     104
   68      61     144
   90      80     202
   28       9     102
   77      56     463
   69      98     490
   61      69     258
   15      42     133
   37      79      55
   28      77     380
   53      58     301
   95      37       3
   69      68     117
   21      76     482
   34      95     485
   26      26     478
    1      63     330
   76      37     420
   56      63     221
   99      47     160
   27      42     364
   43      89     246
   65      77     382
   11      70     436
   38     100     195
   53      96       6
   52      27     407
    3      90      56
   70      33     152
   48      51     223
   94      95      64
   19      53     444
   69      78     228
   90      42     198
   99      24     406
   25      18     108
   40      37     316
   99      46     286
   68      28     496
   47      94     390
   69       4     371
   44      42     284
   15      86      53
   73      77      99
   13      15     191
   27      37     304
    6      25      34
   87      19      54
   77      27     387
   98      52     343
   12      10     262
   89      30     105
   37      77     225
   81      89     374
   41      23     343
   88      30     195
   78      91     148
   57      23     482
   12       1     139
   13      43     354
   83      73     353
    5      31     148
   70      11     131
   68      18     383
   87      14      82
   47      58     379
    4      39     235
   15      66     414
   63     100     302
   47      16     296
   94      34     259
   86      68     199
   48      78      43
   30      21      90
   91      11      79
   78      81     405
   38      85     392
   62      70     378
   56      17     362
   25      92     337
    8      86     295
   56      79      49
   28      40     164
   69       5     147
    6      86     495
   42      70     340
    3      63     421
   49      92     459
   85      45      37
   82      75     423
   34      68     398
    2      60      99
   22      24      24
   47      26     113
   54       4     381
   42      53     219
   87      61      42
   11      57     487
   61      19     212
    6       8     129
   21      89     397
   98      83     196
   22      87     373
   38      31     151
   77     100     406
   97      76      24
   48      70     282
   74      42     182
   24      91     408
   21      23     481
    1      13     191
   34       4     472
   89      11     353
   45      76     161
   64      35     279
   61      77      41
   18      84     113
   41      66      60
   47      23      43
   50      19     274
   78      49     202
   81      80     301
   13       1     297
   99      70     314
   94      54     203
   54      58     447
   96      26     253
   75      96     244
   62      22     331
    3      79      42
    2      67      56
   34      69     157
   46      95       5
   31      33     338
   97      39     101
   10      40     250
   64      71     342
   42      69      36
   39      36     215
   45      23     290
   36      88     355
   33      91      27
   24      11     447
   45      72      94
   81      38     440
   46      97     169
   95      17     348
   78      56     376
   82      40     484
   95      51      54
   35      85     373
   87      59     172
   86      85      62
   58      30     112
   22      77      67
   46      36     392
   56      12     352
   33      94     152
   42      53     191
   98       3     431
   78      66     486
   59      60     161
   74      90      28
   23      76       1
   86      94     262
   63      32     482
   60      70     240
   86       2     290
   22      22      41
   76      86     365
   93      59     324
   71      56     420
   21      89      45
   89      44      73
   68      33      94
   97      95      49
   54      41     481
   50      24      12
   38      52     195
   93      21     339
   89      69     172
   15      46     286
   54      59     312
   64      80     366
   71      66     350
   96      76     109
    9      50     292
   21      26      92
   82      66     132
   29       9     105
   65      54     375
   55      20     200
   38      65     319
   30      27     410
    3      42     318
   57      25     302
   46      44     427
   74      21     260
   76      48      60
   22      45     204
   66      18     277
   60      12     311
   12      29     100
   16      77     328
   19      13     449
   82     100     352
   36      57     294
    4      61     365
    7      49     444
   70      69     458
   90      43     334
   97      88     183
   88       4     401
   82      83     360
   51      72     263
   57      71      88
   99      75      75
   99      31     298
   38      14     213
   50      45     239
   38      63     327
   49      60      91
    1      51     258
   97       9     222
   78      50     490
   17      73     186
   87      14     430
    8      20     459
   13      83     189
    7      56     481
   12       1     100
   19      17     183
   12      91     328
    1      22     126
   48       8     227
   72      59     140
   87      37     236
   72      20     466
   93      54     217
   85      43      55
   17       1     377
   62      70     227
   25      34      63
   41      42      28
   42      93     359
    7      38     253
    3      16     366
   86       7     445
   42      56      91
   48      40     481
   13      67     153
   87     100     453
   76     100     452
    2      15     300
   77      61     455
   14      21     350
    7      57     399
   71      18     410
    6       2      22
   72      30       9
   32      35     236
   75     100      55
   23      10     332
   11      87     325
   16     100     286
   24      58     390
   31      70     473
   23      45     309
  100      81     234
   78      76     429
   35      84     302
   36      35     310
   91      95     371
    1      94     403
   27       9     369
    3       5     289
   71      31     161
   67      66     115
   50      66     498
   43      48     333
   70      23     494
   79      68     248
   53      87     324
   43      99     257
   62      56     185
   59      50     334
   87      89     194
    5      61     419
   68      84     293
   25      42     452
   90      46     340
    5      94     320
   29      69     344
   21      67     107
   28      85     305
   79      42     250
   35      41     361
   37      86     171
   67      90     191
   41      12     358
   22      48     467
   93      19     123
   82      31     190
   25      84     112
   41      95      64
   11      36     254
   30      64      57
   82      72      19
   47      31     316
   74       1     471
   24      28      38
   93      75      62
   93      86     498
   35      82     449
   88      53     291
   85      59     203
   54      28     396
   93      56     396
   49      97     332
   43      83     446
    9      96       1
   91      89      50
   38      58     283
   83      25     287
   22      72      21
   54      11     366
    8      55     498
   43      23      27
   96      75     464
   95      99      97
   41      55     157
   22       6     173
    2      59     154
    4      79     146
   86      71     292
   60      55      46
   83      66     402
   30      53     144
   40      63      50
    1     100      65
   63      20     296
   67      85     254
   52      93     102
   10      87     154
   23      21     321
   85       9     186
   56      57     469
    7      94     213
   96      59     118
    8       2     401
   44      74     264
   70      66     431
   47      24      91
  100      94     427
   97      94     336
   11      65     246
   79      13     202
   81      65     466
   39      77     127
   64      88     136
   64      30     158
    2      57     284
   49      59     497
   87      18     206
   43      81     141
   96      62     429
   22      36     488
   58      70     491
   70      72     146
   79      29     157
   79      14     428
   74      23     108
   30      75       1
   55      75     338
   24      49      42
    8      41     385
   42       5     300
   37     100     357
   46      58     198
   24      91     304
   14      42     311
   39      33     103
   80      29     158
   75       3     321
   69      97     479
   96      59     294
   28      78     369
   79      68     258
   86      44     485
   11      73     185
   89      98     449
    8      87      76
   69      93     248
   80      44     140
   67       1     193
   46      97     474
   33      66       2
   56      53      80
   31      14     162
    9     100     232
   89       8     331
   29      75     438
   45      65      87
   40      76     464
   80      87     491
   77       6     169
   58     100     215
   73      75     444
   68      45      11
   22       8     381
   85      98     366
   76       7     295
   26      53     130
   22      75     429
   28      33     383
   86      12      48
   31      10     125
   44      74     193
   35      14     108
    5      86     323
   21      64     428
   16      27     205
   58      53     187
   85      52      28
   86      25     350
   30      40     366
   79      89     344
   37      37     129
   48      48     474
   37      84     347
   81      21     435
   78      37      80
   33       3     111
   66      37     385
   78      36     348
   59      28     476
   30      33     290
   38      56     401
   99      47     480
    3      15       2
   56      15     378
   16      73     202
   51      52      18
   59     100     100
   35      15     161
   26      28     215
   54      41     310
    3      96     225
   93      57      33
   84      28     151
   34      10     397
   95      73     432
   12      90     484
   67      94     120
   37       4      33
   41      69     387
   84      13     427
   39      84     380
   84       3     403
   82      65     386
   53      41     489
   86      95     385
   36      25     198
   69      94     485
   28      48     108
   90      45     423
    4      59     346
   19      22      88
   19      69      45
   77      47     296
   87      12     397
   32      77     180
   31      84     101
   44       3      20
   62      72      85
   61       1     235
   94      36     414
   83      74     437
   48      39      47
    3      75     448
   20      30     286
   11       5     256
   16      51     467
   83      23     250
   69      85      32
  100      51     161
   15       2     220
    2      80     266
   41      82     221
    5      13     199
   92      67     245
   67      77      26
   59       9     371
   24      73     492
   84      90     312
   27      70     383
   40       4      64
   86      33     269
   85      35     105
   28      66     113
    3      34     405
   63      85      57
   57       8     299
   38      23     314
   88      94     191
   18      30      95
   51      50      48
   94       7     281
   46      38      62
   61      39     479
   35      66     207
   32      26     260
   75      23      13
   98      16     316
   23      55     402
   87      64     201
   30      30     418
   89      26     468
    8      86     179
   63       8     224
   36      16     246
   80      91      24
   21      41      62
   98      41     464
    3      33     175
   95      47     372
   44      69     103
    6      17     463
    5      94     261
   86      58     125
   35      42      38
   23      76     427
   94      49     142
  100      12     492
   75      40      21
   36      43     223
   23      81     473
   25      81     443
   26      87      77
   62      20     186
   19      90     473
   86      24     329
   63      86     405
   48      44     190
   63      57     118
    4      67     199
   69      23     370
   57      94     344
   82      89     412
   63      51     284
   28      94     346
   28      34      74
   85      70     367
   61      78     418
    4      97     166
   73      94     145
   40      77      83
   82      98      99
   66     100     173
   32      40     325
   89      11      28
   37       7     489
   40      30     372
   58       1     469
   89      17     224
   87      20     353
   95       2     368
   86      72     408
    4      81      83
    6      81      68
   75      89     163
   90      46     193
   93      15     443
   93      81     187
   76      87     189
   49       9     178
   87      90     121
   66      92     297
   15      60     464
   60      83      35
   98      37     179
   61      42      67
   11      45     161
    8      57     272
   73      28     492
   96      94     164
   16      80     258
   47      44     380
   42      48     237
   30       7     462
   20      89     394
   39      30     284
   70      74       4
   72      63     147
   69      57     259
   82      28     316
   71      59      46
   92      47     496
   38      11     146
   83       7     352
   36      92     201
   16      14     302
   98      69     447
   60      93     182
    5      47     463
   76      34     357
   13      49     183
   37      90     415
   59      46     281
    8      52     258
   69      76     127
   24       2      35
    5      70      79
   12      23     108
   24      55      69
   89      61     293
   22      44      73
   48      86      72
   15       4     389
   64      97     314
   73      11     210
   18      77      49
   47      54     300
   69      31     141
   92       9     107
    2      65     145
   33      57     436
    3      13      71
   45      74     202
   80      40     185
   20      12     133
   69      23     220
   58      53      51
   28      24     197
   70      52     391
   81      40      63
    6      38     187
   95      55     320
   75      72     212
   27      10      41
   87      45     440
   65      39      23
   14      25     387
   33      92     364
   83      97     168
   51      97     179
   64      60     213
   98      19      25
   59      63     374
   29      31     241
   31      98     231
   96       3     191
   46       5     233
   59      83     196
   74      81     237
   37      76     375
   97      65      99
   24      22     282
   22     100     490
   18      17     243
   34      83     210
   51      22     128
   81      36     377
   23      20     428
   47      94     169
   26      55     401
   48      96     378
   86      99     110
   40      89     193
   80      91     426
   91      84      67
   67      73     181
   56       5      16
   26       4     286
   80      66     161
   63      64     409
   64      10     162
    8      13     353
   88      24     242
   99      89     378
   77      40     470
    1      70     294
   77      59     345
   35      77     318
   28      55       4
   92      48      76
   31      72      17
   31      48     219
    7      64     289
   13      31     150
   38      68     433
   77      67     100
   78      49     483
   32      34     369
   60      74     428
   97      82     303
   49      80     170
   13      38      15
   32      38     376
   29      90     199
   32      48     490
   88      40     205
   82      69     313
   52      75     371
   17      13     206
   58      61     304
    5      99      19
   78      66     159
   69      48     240
   80      63     180
   77      64     343
   68      18     169
   74      17     214
    6      96     113
    9      93     106
   65      72     336
   39       4     377
   62      37     267
   36      93     186
   15      83     316
    5      26     261
   30      85     133
   26      16      94
   26      31      45
   77      57     165
   24      88     360
   54       8      40
   88      14     193
   82      10     447
    6       7     197
   34      91     474
   56      66       3
   29      14      50
   45      72      55
    3      67     284
   84      97     166
   90      87     250
   78      84     286
   10      31     316
    2      82     397
   37       4     207
   62      19     317
   82      90     404
   54      35     205
   85      78      38
   68      76     369
   59      82     314
   62      74     484
   88       5     370
   77      30      27
    6      27     298
   92       6     331
   48      99     447
   51      75     371
   78      36     420
   68      10      47
   44      35     291
   51      79     265
   92      41     236
   62      75     359
   98      44     204
   40      84     365
   10      70     379
   70      17     329
   99      68     200
   75       4     286
   65      79     483
   34      39     267
  100      12     467
   53      42     266
   59      12     361
   15      65     312
   29      81     331
   14      28      96
    6       3     281
   75      90     236
   83     100     454
   32      97     490
   74      13     122
   90      14     335
   98      65     461
   76      15     214
   85      86     408
    8      27      72
   63      33     286
   99      83     492
   98      32     247
   26      43     441
   50      30     327
   76      13     317
   59      37       9
   60      42     277
   51      80     189
   95      58     225
   59      66     187
   98       6      14
   27       5     306
   34      31     112
   43      59     483
   18      87     161
   74      67     491
   32      35      74
   23      97     284
   21       6      84
   19     100      76
